,Our method,"scRNA, Wilcoxon","scRNA, T-test","scRNA, COMET"
proximal tubule,0.9885148514851485,0.8879207920792078,0.8887128712871287,0.905940594059406
glomerulus,0.9905172413793103,0.7870689655172414,0.7905172413793105,0.7913793103448276
distal tubule,0.9344729344729343,0.9525166191832859,0.9572649572649573,0.9316239316239316
collecting duct,0.9527777777777777,0.8069444444444445,0.8541666666666666,0.8097222222222221
overall,0.9665707012787927,0.8586127053060448,0.8726654341495158,0.8596665145625969
