,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000238009,0.04785223,0.07251627,0.19858935,0.048387785,0.097974144,0.090437286,0.096021086,0.05411101,0.037071645,0.05584309,0.083554715,0.04362171,0.07401963
ENSG00000239906,0.16884656,0.019048188,0.019048188,0.019048188,0.14522657,0.087979555,0.11666583,0.019048188,0.019048188,0.019048188,0.019048188,0.019048188,0.32889605
ENSG00000237491,0.076108254,0.045495123,0.082540154,0.08611229,0.08892063,0.062297773,0.09375216,0.11825728,0.052518085,0.070676245,0.06421144,0.051713593,0.10739694
ENSG00000177757,0.090162165,0.015109635,0.015109635,0.3477171,0.20087004,0.06525203,0.015109635,0.015109635,0.015109635,0.015109635,0.015109635,0.015109635,0.17512149
ENSG00000225880,0.034904987,0.00044130933,0.1476495,0.069808,0.10407431,0.11878651,0.106386185,0.00044130933,0.085940294,0.0683021,0.0882655,0.11850041,0.05649962
ENSG00000230368,0.02065458,0.0075399033,0.0075399033,0.0075399033,0.18847072,0.1109882,0.21363302,0.0075399033,0.0075399033,0.24962823,0.081593394,0.0075399033,0.089792386
ENSG00000272438,0.008513963,0.15146835,0.06312408,0.077710606,0.2629843,0.022525763,0.010278501,0.0013665181,0.10474026,0.07367471,0.017024972,0.0013665181,0.20522147
ENSG00000223764,0.0053295027,0.15495104,0.04337641,0.03336404,0.1487841,0.0047993655,0.0091510285,0.00033050778,0.21939084,0.0669605,0.012607208,0.02932809,0.27162746
ENSG00000187634,0.009382305,0.1280121,0.18007576,0.034504257,0.18096535,0.0096295085,0.0100620575,0.03888046,0.049526162,0.09475678,0.013565343,0.005988086,0.2446518
ENSG00000188976,0.09884352,0.04809775,0.08007957,0.06389079,0.075236365,0.068777405,0.073849574,0.08114186,0.07205316,0.083244815,0.08910727,0.07267759,0.093000256
ENSG00000187961,0.137939,0.025412297,0.010877574,0.046785172,0.060219537,0.09381353,0.06545272,0.20133655,0.03891961,0.12344346,0.07067731,0.047009382,0.07811373
ENSG00000187583,0.03560446,0.00498525,0.00498525,0.05959343,0.0361168,0.040949136,0.11455321,0.00498525,0.00498525,0.58367383,0.09959775,0.00498525,0.00498525
ENSG00000187642,0.004159887,0.21486196,0.004159887,0.004159887,0.07732745,0.5209569,0.057429288,0.004159887,0.004159887,0.004159887,0.004159887,0.004159887,0.096145436
ENSG00000272512,0.00056135375,0.00056135375,0.00056135375,0.0448005,0.2382092,0.0131231835,0.052482314,0.00056135375,0.35502744,0.10673079,0.009538027,0.00056135375,0.17728174
ENSG00000188290,0.009130602,0.03455134,0.03156152,0.06472284,0.09956262,0.012780268,0.048020333,0.00024345606,0.47783652,0.097362556,0.021708,0.00024345606,0.10227651
ENSG00000187608,0.007936932,0.048671223,0.07477113,0.022655373,0.123971045,0.026010852,0.055972584,0.15393135,0.080458365,0.10654875,0.062488224,0.010286553,0.22629769
ENSG00000188157,0.04030191,0.016622137,0.14469975,0.025629167,0.09222022,0.085986346,0.072115004,0.0389412,0.06455944,0.18656996,0.05448451,0.05631166,0.121558726
ENSG00000131591,0.07141595,0.107928626,0.06816819,0.07525156,0.080888495,0.07668421,0.095302135,0.01197194,0.08926751,0.09401048,0.092299104,0.04246667,0.094345115
ENSG00000223823,0.123604774,0.07256454,0.023993667,0.025582302,0.23294835,0.058999125,0.07698567,0.00078742905,0.00078742905,0.08889456,0.054902337,0.053886358,0.18606351
ENSG00000272141,0.036865033,0.015819296,0.01014198,0.018197138,0.14408456,0.11192587,0.17446652,0.0001300056,0.0001300056,0.03530213,0.10839807,0.19239572,0.15214375
ENSG00000162571,0.0074995332,0.00075796666,0.00075796666,0.046760954,0.14955302,0.09618123,0.15947546,0.00075796666,0.00075796666,0.014793573,0.13304874,0.20864256,0.18101303
ENSG00000186827,0.0018946085,0.10031463,0.0018946085,0.18484294,0.0018946085,0.0018946085,0.012275199,0.5321547,0.09691796,0.038036715,0.024090193,0.0018946085,0.0018946085
ENSG00000078808,0.09911299,0.046925828,0.05418052,0.0745341,0.06595083,0.07100942,0.070023276,0.095182285,0.059180565,0.11590051,0.08959267,0.08838126,0.070025824
ENSG00000176022,0.14201106,0.0011976181,0.062488627,0.13889758,0.009074638,0.03252284,0.033241317,0.2050508,0.09700332,0.029685395,0.07987641,0.12062373,0.048326734
ENSG00000184163,0.5535089,0.10990346,0.06801952,0.03550111,0.033760455,0.040113293,0.0217741,0.00062802795,0.00062802795,0.022530606,0.045412235,0.00062802795,0.06759223
ENSG00000260179,0.25028065,0.00874476,0.00874476,0.17661361,0.083756484,0.08866026,0.18633541,0.00874476,0.00874476,0.00874476,0.15314016,0.00874476,0.00874476
ENSG00000160087,0.07805142,0.05542744,0.066910945,0.07855495,0.068313874,0.06198359,0.07065305,0.10457747,0.052040003,0.10466455,0.09565908,0.07947479,0.0836889
ENSG00000230415,0.16762945,0.11220006,0.046554014,0.05062266,0.07457028,0.10234204,0.0843875,0.17704594,0.0005796718,0.107693195,0.017658258,0.0005796718,0.05813722
ENSG00000162572,0.26547852,0.08977351,0.0825995,0.059219863,0.030912032,0.06771327,0.044699002,0.16950169,0.061214462,0.07042549,0.021998921,0.016768914,0.019694904
ENSG00000131584,0.18088919,0.15113638,0.09297876,0.062542535,0.049059357,0.06737382,0.06600319,0.016923241,0.05077666,0.06472813,0.07700605,0.058281876,0.06230079
ENSG00000169972,0.12053285,0.0020718812,0.0020718812,0.14123036,0.114043035,0.12457655,0.11361291,0.0020718812,0.0020718812,0.24165435,0.062992714,0.0020718812,0.07099775
ENSG00000127054,0.061212894,0.13931875,0.084435895,0.052768,0.07051735,0.07914941,0.07390085,0.03557639,0.100622155,0.12103139,0.057337772,0.05940391,0.064725175
ENSG00000224051,0.080417424,0.000654732,0.03929633,0.05595754,0.09156987,0.12769356,0.102075346,0.000654732,0.037675086,0.019092456,0.12411641,0.2512199,0.069576636
ENSG00000169962,0.09629273,0.013986482,0.39357823,0.013986482,0.013986482,0.1938722,0.053544123,0.013986482,0.013986482,0.013986482,0.15082072,0.013986482,0.013986482
ENSG00000107404,0.06087531,0.16705783,0.045836367,0.039737657,0.060371403,0.05782815,0.048446,0.086355016,0.11779393,0.055363614,0.14042664,0.070372015,0.04953615
ENSG00000162576,0.010974866,0.24715269,0.4796535,0.0033424424,0.002241228,0.0047331178,0.006445386,0.0001047871,0.06909187,0.14797147,0.0043713176,0.01851651,0.0054008965
ENSG00000175756,0.16317642,0.00023041996,0.041961785,0.04350564,0.06270896,0.11359178,0.09921244,0.057978597,0.08491019,0.04871081,0.13020582,0.11346639,0.040340725
ENSG00000221978,0.09671876,0.12282892,0.06280001,0.106483564,0.069308035,0.062001035,0.052355118,0.053736314,0.081289686,0.10168615,0.06499013,0.051756535,0.07404568
ENSG00000242485,0.070918955,0.050514374,0.0728918,0.084091514,0.08460853,0.07344581,0.08040447,0.11139925,0.06828685,0.062519364,0.08540187,0.07587586,0.07964126
ENSG00000272455,0.0422206,0.00092946744,0.20023064,0.024906859,0.08145701,0.076260835,0.09965486,0.23183373,0.04398957,0.022795318,0.09356183,0.030584143,0.05157511
ENSG00000235098,0.005661667,0.0013099933,0.76283234,0.0013099933,0.0013099933,0.0013099933,0.014471005,0.0013099933,0.0013099933,0.20524506,0.0013099933,0.0013099933,0.0013099933
ENSG00000225905,0.033822678,0.033822678,0.033822678,0.033822678,0.23058023,0.15618876,0.27500433,0.033822678,0.033822678,0.033822678,0.033822678,0.033822678,0.033822678
ENSG00000225285,0.024017662,0.0027287747,0.28427345,0.16367972,0.051408425,0.0027287747,0.03454669,0.0027287747,0.0027287747,0.31212577,0.039975956,0.0027287747,0.07632859
ENSG00000179403,0.028936176,0.0007739152,0.151427,0.29570517,0.01989499,0.04124842,0.03549854,0.0007739152,0.21163376,0.10501614,0.041873306,0.0007739152,0.06644469
ENSG00000215915,0.03578338,0.00058162294,0.17910132,0.08342196,0.117340356,0.080154136,0.087616295,0.00058162294,0.00058162294,0.08041264,0.15606238,0.08744398,0.09091864
ENSG00000160072,0.078778915,0.05007355,0.045944583,0.06584186,0.07531955,0.07577004,0.074179955,0.12083467,0.06703249,0.055700876,0.114906706,0.07125293,0.10436387
ENSG00000197785,0.08776451,0.049433578,0.020835228,0.06129301,0.10287426,0.11216972,0.10880921,0.0001844244,0.008745338,0.059837706,0.12206206,0.13303217,0.13295881
ENSG00000205090,0.029501423,0.002884895,0.076139696,0.10501842,0.109641075,0.090438046,0.11180106,0.002884895,0.002884895,0.24872358,0.13221492,0.002884895,0.08498204
ENSG00000160075,0.09524359,0.055775423,0.047020737,0.08346326,0.06418375,0.066040814,0.08346441,0.112493314,0.047076512,0.06880141,0.07756119,0.11472627,0.08414937
ENSG00000215014,0.06434469,0.0024027312,0.06721129,0.04450066,0.13776898,0.09251633,0.11658397,0.0024027312,0.32536072,0.04688425,0.026404954,0.0024027312,0.071216084
ENSG00000228594,0.13787591,0.004254535,0.004254535,0.004254535,0.103229165,0.08668063,0.1145865,0.004254535,0.004254535,0.004254535,0.24305953,0.2847865,0.004254535
ENSG00000272106,0.046522018,0.075871654,0.15502544,0.074412264,0.036095515,0.08333202,0.113713235,0.0009303506,0.0009303506,0.15019427,0.0829321,0.06321909,0.11682172
ENSG00000197530,0.1567499,0.046487197,0.04015006,0.06019508,0.066720866,0.08024188,0.07550866,0.064185895,0.07533259,0.07355466,0.09849151,0.07927345,0.083108254
ENSG00000189409,0.09755593,0.3249785,0.1271751,0.027886085,0.03155585,0.040175185,0.026607402,0.002315654,0.002315654,0.119862266,0.10605575,0.002315654,0.0912009
ENSG00000248333,0.09137543,0.06293946,0.06515135,0.09622425,0.06976407,0.07307766,0.06893554,0.093027726,0.051530357,0.050088912,0.09405962,0.08235627,0.10146933
ENSG00000272004,0.071320914,0.07544088,0.06385098,0.10164476,0.09498941,0.08093878,0.09843037,0.0007336768,0.07819868,0.061125595,0.05283808,0.069381244,0.15110664
ENSG00000189339,0.08401588,0.05364976,0.056134887,0.07681128,0.07654099,0.07908132,0.07503767,0.08771724,0.06713514,0.083525,0.077996664,0.08883011,0.093523994
ENSG00000008128,0.09165134,0.11979537,0.06172286,0.093231924,0.08222613,0.08262364,0.046272736,0.08469033,0.09258617,0.043810572,0.07472704,0.04703454,0.079627365
ENSG00000215790,0.070440225,0.12731434,0.071749404,0.06474687,0.0812648,0.09219134,0.06926324,0.06630513,0.062258758,0.065605514,0.064578265,0.063571624,0.10071044
ENSG00000008130,0.07598696,0.09312052,0.027188307,0.048313037,0.07298308,0.07145657,0.07474658,0.14355986,0.06749912,0.0651474,0.08353249,0.088412866,0.08805322
ENSG00000078369,0.065109596,0.08052082,0.05704838,0.12330701,0.05972125,0.044260908,0.053811017,0.13782269,0.07477487,0.07408709,0.07538701,0.09263789,0.061511524
ENSG00000231050,0.23586853,0.010943258,0.010943258,0.010943258,0.010943258,0.28167674,0.06750504,0.010943258,0.010943258,0.31646034,0.010943258,0.010943258,0.010943258
ENSG00000169885,0.36612967,0.005430422,0.15097058,0.005430422,0.089110985,0.08462788,0.081506476,0.005430422,0.005430422,0.13318184,0.005430422,0.005430422,0.061890155
ENSG00000178821,0.54083955,0.0035870378,0.0035870378,0.0035870378,0.0035870378,0.03608323,0.02258171,0.0035870378,0.0035870378,0.07052808,0.17988484,0.12497329,0.0035870378
ENSG00000142609,0.3743132,0.0073170215,0.0073170215,0.17467576,0.10020644,0.13613048,0.08415696,0.0073170215,0.0073170215,0.0073170215,0.079297915,0.0073170215,0.0073170215
ENSG00000226969,0.27152306,0.017137924,0.017137924,0.017137924,0.12503599,0.017137924,0.12998283,0.017137924,0.017137924,0.017137924,0.017137924,0.017137924,0.31921676
ENSG00000067606,0.21687727,0.019896418,0.039032456,0.030358162,0.07813269,0.06567789,0.078090884,0.09489344,0.014452912,0.07954852,0.1190887,0.07568347,0.08826724
ENSG00000182873,0.027525442,0.22595209,0.0043587764,0.05525298,0.07343185,0.03858297,0.1008721,0.0043587764,0.0043587764,0.15306695,0.05095953,0.25692105,0.0043587764
ENSG00000162585,0.12376253,0.0728454,0.058830075,0.051198665,0.07412314,0.06420278,0.07146093,0.04348723,0.10224928,0.107843615,0.08618996,0.060730737,0.08307565
ENSG00000234396,0.2581412,0.05238815,0.10356711,0.040307406,0.045357976,0.042741727,0.016220322,0.07909889,0.055282827,0.09940791,0.018055974,0.036972288,0.15245822
ENSG00000157933,0.057221014,0.12919514,0.044699367,0.084512115,0.07124884,0.055100325,0.054200064,0.100972354,0.07077983,0.12362005,0.036919795,0.07670907,0.094822034
ENSG00000116151,0.15513529,0.07375007,0.05148194,0.024478566,0.084598765,0.082207486,0.11944995,0.014870683,0.04655954,0.11032291,0.072702505,0.04303258,0.121409714
ENSG00000157916,0.06427787,0.07627488,0.04981608,0.06690401,0.0850715,0.064783946,0.07362188,0.11886589,0.057954118,0.05085128,0.07582537,0.09741821,0.11833493
ENSG00000157911,0.07219499,0.025798734,0.045385197,0.027802223,0.10350471,0.099254385,0.07938323,0.052471183,0.0852336,0.07337399,0.08814317,0.1260797,0.121375024
ENSG00000149527,0.4385135,0.026109396,0.042669967,0.036204237,0.017799046,0.0094284685,0.015082269,0.3122073,0.016913671,0.035917662,0.020983027,0.013131599,0.015039916
ENSG00000157881,0.06243071,0.037794665,0.04343978,0.06210081,0.11752792,0.1304152,0.12851073,0.00034534832,0.053518653,0.05980992,0.12381897,0.09114862,0.08913877
ENSG00000272449,0.09502531,0.0021609822,0.056500353,0.02504548,0.1710233,0.04671404,0.14622432,0.0021609822,0.0021609822,0.0429916,0.052776556,0.0021609822,0.35505512
ENSG00000238164,0.09265491,0.03040443,0.00021843029,0.03716372,0.09974796,0.07172618,0.016792906,0.24126832,0.019548623,0.053430393,0.116755486,0.13240202,0.0878866
ENSG00000157873,0.26722312,0.0789288,0.04533895,0.09426839,0.04355264,0.027806517,0.019651191,0.134919,0.07023721,0.060381677,0.05933919,0.042508617,0.055844795
ENSG00000157870,0.07812269,0.0011622983,0.06425186,0.057178516,0.041801456,0.08955083,0.04882111,0.0011622983,0.09186299,0.05630961,0.14148247,0.21334508,0.114948735
ENSG00000142606,0.007948008,0.007948008,0.007948008,0.1696989,0.13129759,0.098427676,0.027665442,0.007948008,0.007948008,0.007948008,0.007948008,0.25363174,0.2636426
ENSG00000215912,0.123567335,0.07810789,0.123654105,0.031033846,0.14814661,0.10769028,0.07254514,0.0005825848,0.07503561,0.10420182,0.05326997,0.0005825848,0.081582114
ENSG00000283259,0.3506354,0.011219433,0.011219433,0.011219433,0.011219433,0.13424738,0.13430531,0.011219433,0.011219433,0.011219433,0.011219433,0.011219433,0.27983698
ENSG00000177133,0.011894838,0.0061199334,0.005358837,0.019733516,0.23062322,0.13194658,0.20590381,4.1299834e-05,0.039970238,0.005114218,0.056110486,0.033593226,0.2535898
ENSG00000142611,0.008817739,0.024756424,0.0050108028,0.029626295,0.15492755,0.12313275,0.14867595,0.024827829,0.07435908,0.0072841155,0.11210514,0.10652128,0.179955
ENSG00000130762,0.104063556,0.0061720433,0.2044093,0.019567113,0.07699874,0.09051178,0.07827106,0.00011949534,0.0059493124,0.074039795,0.12571524,0.12440937,0.08977319
ENSG00000272088,0.054749142,0.0070960363,0.58892536,0.0070960363,0.051413015,0.0070960363,0.025513507,0.0070960363,0.0070960363,0.0070960363,0.12680097,0.0070960363,0.10292574
ENSG00000162591,0.04420205,0.5658164,0.042913556,0.043180253,0.020249857,0.010081602,0.010075927,0.027069949,0.04013281,0.0960527,0.031582013,0.05569327,0.012949467
ENSG00000238260,0.1402917,0.10476705,0.12184671,0.019008985,0.11123311,0.089167535,0.06633771,0.00053004205,0.025835168,0.04093726,0.04699472,0.033357456,0.19969253
ENSG00000158109,0.26919314,0.023856746,0.029365065,0.07962434,0.054435413,0.07778344,0.056779813,0.00044783493,0.00044783493,0.09987428,0.0584441,0.19821393,0.051534045
ENSG00000116213,0.048295885,0.062588,0.085997015,0.0873395,0.08193191,0.06788799,0.057015643,0.09158279,0.07305857,0.05907253,0.09683301,0.10207234,0.08632482
ENSG00000078900,0.13211673,0.0126433,0.0126433,0.14212856,0.0126433,0.05983653,0.0126433,0.0126433,0.0126433,0.0126433,0.5521285,0.0126433,0.0126433
ENSG00000235169,0.16081083,0.19328593,0.09291595,0.05918934,0.028878445,0.06987796,0.05484736,0.003433564,0.003433564,0.15611783,0.04292609,0.13084961,0.003433564
ENSG00000130764,0.08683196,0.013510701,0.082991615,0.07059661,0.08601596,0.079964064,0.08937957,0.07214162,0.06268047,0.06781198,0.088909335,0.10735022,0.091815785
ENSG00000116198,0.08158229,0.046063416,0.048412118,0.059938908,0.0931432,0.08048991,0.07025906,0.14071736,0.04918769,0.061224423,0.07399094,0.07025456,0.12473612
ENSG00000169598,0.096916005,0.14452423,0.080389425,0.059368074,0.09411726,0.08426898,0.07513922,0.00015331582,0.03419019,0.08328837,0.063664265,0.06516801,0.11881264
ENSG00000198912,0.07030398,0.0002130783,0.08794069,0.036982063,0.10553384,0.057050753,0.064398885,0.11789492,0.060647894,0.12988766,0.07444077,0.08143906,0.113266446
ENSG00000236423,0.28846997,0.0017095248,0.049203597,0.0017095248,0.07382739,0.08629251,0.0523706,0.0017095248,0.0017095248,0.03768572,0.13867882,0.19285505,0.07377828
ENSG00000196581,0.072471485,0.024978843,0.009712844,0.31938314,0.03193634,0.11867707,0.17472845,7.624735e-05,0.009672496,0.1982945,0.007995494,0.0053060874,0.02676697
ENSG00000284692,0.0019009005,0.0019009005,0.0019009005,0.0019009005,0.039708994,0.182656,0.5575355,0.0019009005,0.0019009005,0.07601254,0.02071832,0.0019009005,0.11006226
ENSG00000236948,0.013748119,0.15645398,0.100057386,0.07122348,0.0018693557,0.029931366,0.052210446,0.52988535,0.0018693557,0.03714306,0.0018693557,0.0018693557,0.0018693557
ENSG00000131697,0.04835346,0.01869562,0.105648205,0.068042785,0.06230727,0.1198323,0.08690758,0.07956777,0.067858055,0.12527832,0.0905912,0.046728514,0.08018887
ENSG00000069424,0.22405863,0.043878626,0.017172543,0.049386222,0.005161458,0.01028248,0.010492804,0.56116503,0.029534006,0.027246214,0.010071419,7.453918e-05,0.011476064
ENSG00000116254,0.011388443,0.0008087286,0.039425395,0.0087533295,0.1691776,0.1042569,0.099978514,0.0008087286,0.13825648,0.08130101,0.08084012,0.03771138,0.22729336
ENSG00000116251,0.07388134,0.084361255,0.07156457,0.05419642,0.10369649,0.0781446,0.08368157,0.07326811,0.046453822,0.070411414,0.09080203,0.09017793,0.079360455
ENSG00000158286,0.06339729,0.076251544,0.052160896,0.01795377,0.14609437,0.0457191,0.04413653,0.021606324,0.12685303,0.067657255,0.077771045,0.13307822,0.12732057
ENSG00000116237,0.10615934,0.08158082,0.12190815,0.06443705,0.06962022,0.086597286,0.12677844,0.0005453832,0.025879638,0.04593135,0.11321912,0.11967566,0.037667487
ENSG00000225077,0.21983877,0.012125936,0.012125936,0.012125936,0.012125936,0.012125936,0.10606776,0.012125936,0.012125936,0.012125936,0.012125936,0.4237975,0.1411625
ENSG00000158292,0.057735,0.46143243,0.17331344,0.0014381735,0.01776519,0.03341037,0.037060633,0.0014381735,0.0014381735,0.19795504,0.014136928,0.0014381735,0.0014381735
ENSG00000097021,0.18920308,0.052849706,0.13250694,0.068046495,0.07491389,0.04340214,0.03779752,0.00019110399,0.030999836,0.038022026,0.06993448,0.21683311,0.0452996
ENSG00000271746,0.14924657,0.0038848901,0.47680104,0.0038848901,0.02890017,0.0719123,0.14919902,0.0038848901,0.0038848901,0.0038848901,0.096746795,0.0038848901,0.0038848901
ENSG00000069812,0.28030595,0.004079447,0.004079447,0.004079447,0.08863394,0.004079447,0.1056446,0.004079447,0.004079447,0.3996243,0.004079447,0.004079447,0.09315573
ENSG00000187017,0.5320154,0.044696525,0.012848341,0.034344938,0.064751826,0.019256456,0.031725746,0.028749377,0.045188725,0.029757861,0.012208649,0.015115229,0.12934095
ENSG00000215788,0.03743478,0.08652625,0.08003303,0.17262726,0.04947406,0.049496155,0.03501341,0.3017398,0.0002127164,0.0796692,0.0108691715,0.0002127164,0.09669144
ENSG00000171680,0.04238027,0.10551875,0.13400263,0.1509828,0.07887533,0.06793685,0.044291373,0.14248645,0.035176795,0.11035608,0.007042941,0.00035683493,0.080592774
ENSG00000162408,0.09171687,0.065911636,0.052209057,0.06100931,0.07507682,0.11042266,0.10063226,0.09337334,0.029605703,0.08080836,0.089229725,0.06434065,0.08566374
ENSG00000173662,0.12316017,0.23603033,0.0044307224,0.0044307224,0.10368505,0.07808432,0.036801,0.0044307224,0.2204357,0.0044307224,0.0044307224,0.0044307224,0.17521921
ENSG00000204859,0.160545,0.048269477,0.06656154,0.04602098,0.08631958,0.074569695,0.07584577,0.06512972,0.02772627,0.054358177,0.0851711,0.10076158,0.108721204
ENSG00000162413,0.072850816,0.06734665,0.067643195,0.02568178,0.11312773,0.12120295,0.09623086,0.029739609,0.09761124,0.13258517,0.037622135,0.046237066,0.092120744
ENSG00000116273,0.0711782,0.050853204,0.1934488,0.020971969,0.083578005,0.08866708,0.119073816,0.00030692844,0.015632706,0.19546755,0.051015045,0.05825512,0.0515516
ENSG00000041988,0.09916803,0.018075317,0.06343534,0.07166836,0.09347942,0.12154597,0.096932106,0.0723731,0.05443518,0.04268155,0.07878176,0.06514233,0.122281514
ENSG00000007923,0.098087505,0.041194387,0.04004827,0.049574632,0.105005495,0.14880012,0.13919647,0.046465043,0.048182767,0.10921431,0.06678246,0.052967064,0.054481536
ENSG00000237436,0.12776482,0.0022276323,0.4098057,0.0022276323,0.029620975,0.08573212,0.09435663,0.0022276323,0.0022276323,0.13164647,0.05644939,0.0022276323,0.05348567
ENSG00000171735,0.05863565,0.059519272,0.08098588,0.057320483,0.07754249,0.06687926,0.065269,0.037475277,0.07448152,0.12362314,0.10432271,0.11890121,0.07504418
ENSG00000237365,0.012149637,0.012149637,0.012149637,0.012149637,0.012149637,0.100155294,0.012149637,0.012149637,0.012149637,0.012149637,0.76619864,0.012149637,0.012149637
ENSG00000270171,0.0017825325,0.0017825325,0.0017825325,0.0017825325,0.06304878,0.0017825325,0.006097344,0.0017825325,0.0017825325,0.0017825325,0.46102095,0.40151948,0.05405317
ENSG00000270035,0.012787578,0.0042600287,0.0042600287,0.0042600287,0.0291126,0.0042600287,0.020562107,0.0042600287,0.0042600287,0.11820931,0.32555932,0.46394897,0.0042600287
ENSG00000269978,0.01208811,0.0019196371,0.21018526,0.0019196371,0.063236214,0.0019196371,0.011001155,0.0019196371,0.0019196371,0.125334,0.33023545,0.236402,0.0019196371
ENSG00000049245,0.061306074,0.019775212,0.091834776,0.061314985,0.05843176,0.09041864,0.09623567,0.038008913,0.07656364,0.11006379,0.08632132,0.12355261,0.08617257
ENSG00000049246,0.107628584,0.12745944,0.08485367,0.09226183,0.07474141,0.07406127,0.054997392,0.057549614,0.09615598,0.070526704,0.060036767,0.041870102,0.05785726
ENSG00000236266,0.037080687,0.36231098,0.048429318,0.2750405,0.064185895,0.056851365,0.034468856,0.0017074792,0.0017074792,0.0017074792,0.034772735,0.06226174,0.019475445
ENSG00000049249,0.06254809,0.009043371,0.009043371,0.009043371,0.009043371,0.09369791,0.04372677,0.009043371,0.009043371,0.18155737,0.09486722,0.4602991,0.009043371
ENSG00000116288,0.073101446,0.032881472,0.116828665,0.07147346,0.08157466,0.081249215,0.09914569,0.0001352063,0.056200664,0.08195806,0.1275444,0.080897294,0.0970097
ENSG00000284747,0.17057663,0.13744022,0.17219613,0.085018076,0.07582768,0.032714073,0.08235431,0.0012794492,0.12089624,0.027098047,0.034662325,0.044085626,0.015851302
ENSG00000284716,0.38007104,0.09025217,0.06612781,0.056677487,0.0063091996,0.03984022,0.06299077,0.00083082967,0.22341551,0.045677412,0.00083082967,0.00083082967,0.026145913
ENSG00000116285,0.25982445,0.1520313,0.050176814,0.039095525,0.016689233,0.019578954,0.039138492,0.017329559,0.03885982,0.281493,0.01732183,0.04526312,0.023197968
ENSG00000238290,0.14883919,0.03117944,0.2967795,0.011612284,0.019086098,0.021940837,0.037443347,0.00020954577,0.088556506,0.20900884,0.054429594,0.057357766,0.023557015
ENSG00000227634,0.4463367,0.19791034,0.14425965,0.002364475,0.016321015,0.044577427,0.052184887,0.002364475,0.002364475,0.050837826,0.002364475,0.002364475,0.03574961
ENSG00000162426,0.020525014,0.01045085,0.6596986,0.050175913,0.023535911,0.015549121,0.015366927,0.0001746805,0.07737441,0.0979094,0.011925213,0.010459172,0.006854804
ENSG00000142599,0.07467759,0.070335746,0.08468033,0.07849025,0.07242368,0.08115685,0.06964715,0.084452234,0.07567736,0.07091384,0.08195231,0.08035531,0.07523743
ENSG00000232912,0.09234087,0.096844025,0.19114427,0.10930062,0.06737206,0.09400316,0.051062416,0.0013215056,0.0013215056,0.101960495,0.10110881,0.042618208,0.049602095
ENSG00000074800,0.07937624,0.04581187,0.0164248,0.04055328,0.12401422,0.074049495,0.10029577,0.10750012,0.03187707,0.07949303,0.052874375,0.1170527,0.13067693
ENSG00000230679,0.077052884,0.0040218956,0.1116482,0.0040218956,0.127447,0.17075603,0.13665637,0.0040218956,0.0040218956,0.08310416,0.08298193,0.14011298,0.05415284
ENSG00000142583,0.37727973,0.0006975331,0.0006975331,0.049905736,0.021313017,0.03808595,0.028856385,0.31510755,0.049827214,0.031761453,0.026765386,0.0006975331,0.059004925
ENSG00000180758,0.053794548,0.053649753,0.07580694,0.0025195386,0.17510267,0.163983,0.15862444,0.00014606521,0.0527762,0.060974523,0.0960415,0.034205917,0.072374895
ENSG00000228526,0.058485746,0.17826742,0.06827097,0.033154417,0.0619308,0.04472234,0.07370483,0.033245437,0.23055696,0.12132966,0.050757162,0.00016870665,0.045405477
ENSG00000234546,0.029741794,0.16730857,0.0013492391,0.015505409,0.089753814,0.07699901,0.1025641,0.0013492391,0.106008016,0.3304843,0.0285564,0.0013492391,0.04903085
ENSG00000049239,0.076970726,0.12147959,0.098643556,0.032070264,0.049907383,0.051026493,0.067358285,0.09704734,0.091403335,0.12035775,0.077906966,0.05337873,0.062449582
ENSG00000171621,0.14005424,0.20471226,0.24273208,0.05760473,0.020698262,0.0073158364,0.013910405,0.017118912,0.059620775,0.2018965,0.004955722,0.009911535,0.019468753
ENSG00000284652,0.7756632,0.005363366,0.16533989,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366,0.005363366
ENSG00000284693,0.6532597,0.020296868,0.04879525,0.014597294,0.03192595,0.023098791,0.02814987,0.00040284786,0.01775737,0.07910397,0.028028656,0.038290814,0.016292619
ENSG00000235263,0.59232444,0.0048165596,0.0048165596,0.0048165596,0.0048165596,0.040026933,0.31948322,0.0048165596,0.0048165596,0.0048165596,0.0048165596,0.0048165596,0.0048165596
ENSG00000171612,0.10686095,0.053388584,0.05004269,0.04140498,0.079056546,0.114539966,0.28513238,0.023254009,0.021650454,0.026544234,0.068297975,0.07038431,0.059442956
ENSG00000188807,0.036848918,0.08475057,0.04430335,0.044080067,0.072403595,0.112081036,0.14929304,0.00029622737,0.06913879,0.12552014,0.1031874,0.07359738,0.08449949
ENSG00000171608,0.0983349,0.018114537,0.06558599,0.027642643,0.05338043,0.06720252,0.029918611,0.3970103,0.009832369,0.08827356,0.052640438,0.031155614,0.060908023
ENSG00000231789,0.19731139,0.002152198,0.29646882,0.055207517,0.08481922,0.08019221,0.007271363,0.002152198,0.002152198,0.21687089,0.027075667,0.002152198,0.02617412
