,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000105556,0.036876768,0.04450772,0.05478187,0.2521729,0.05760444,0.07245965,0.063746125,0.07504345,0.050681565,0.04683861,0.09249862,0.08916628,0.06362199
ENSG00000183186,0.05866551,0.002733311,0.002733311,0.6859485,0.02038536,0.030222695,0.019481177,0.002733311,0.002733311,0.16616349,0.002733311,0.002733311,0.002733311
ENSG00000129946,0.046427704,0.16949023,0.031706523,0.39293662,0.026425088,0.10296679,0.04848505,0.0001376526,0.02818723,0.07181994,0.029058222,0.01136547,0.0409935
ENSG00000181781,0.09059542,0.009672399,0.009672399,0.2848263,0.009672399,0.009672399,0.009672399,0.009672399,0.009672399,0.5278542,0.009672399,0.009672399,0.009672399
ENSG00000099866,0.105190575,0.08934642,0.16170417,0.03794138,0.10079151,0.07287576,0.13789389,0.0005796673,0.042007744,0.054557886,0.072305396,0.038548604,0.086257
ENSG00000266933,0.105651766,0.08173757,0.21746904,0.017382884,0.08815414,0.04354062,0.036028687,0.0009594107,0.059880443,0.071195744,0.12316661,0.1221746,0.03265849
ENSG00000141933,0.0749819,0.0595734,0.04204909,0.056739163,0.04217009,0.06388288,0.07002394,0.261679,0.096982725,0.06831499,0.06126741,0.03810408,0.064231336
ENSG00000099804,0.10186184,0.05137513,0.07782044,0.05092635,0.057502165,0.076961204,0.08184346,0.111290604,0.042639628,0.04275103,0.104207106,0.09585649,0.1049646
ENSG00000197540,0.008937102,0.0030775683,0.0030775683,0.051811323,0.0030775683,0.0030775683,0.02463427,0.85432756,0.0030775683,0.0030775683,0.0030775683,0.0030775683,0.03566918
ENSG00000267751,0.09749981,0.008674283,0.21561366,0.13266325,0.008674283,0.071234696,0.08281587,0.008674283,0.008674283,0.1688394,0.17928752,0.008674283,0.008674283
ENSG00000172270,0.06676293,0.011654343,0.031692732,0.04665828,0.086671546,0.071461536,0.096860826,0.022895167,0.04880858,0.052046437,0.18022364,0.23007938,0.054184582
ENSG00000099822,0.0103301,0.0006244315,0.0006244315,0.023227545,0.011392719,0.0050731036,0.025141206,0.0006244315,0.0006244315,0.012832979,0.40919882,0.48981023,0.010495584
ENSG00000099821,0.13306895,0.025173666,0.038519572,0.03941954,0.07743452,0.07366373,0.08050904,0.23983808,0.04810412,0.047415026,0.099455625,0.04007671,0.057321552
ENSG00000070388,0.011810307,0.00416951,0.00416951,0.00416951,0.08272541,0.085976474,0.17238176,0.00416951,0.00416951,0.21489576,0.046159316,0.30222464,0.062978715
ENSG00000070423,0.09552293,0.041227203,0.06564289,0.047696505,0.0626797,0.061832126,0.058974218,0.1879999,0.048303366,0.122594364,0.072955325,0.05239869,0.0821729
ENSG00000267666,0.26120076,0.004391455,0.004391455,0.04845889,0.059538826,0.004391455,0.03933325,0.004391455,0.004391455,0.14708756,0.004391455,0.3664834,0.051548604
ENSG00000070404,0.15979218,0.26652434,0.00833288,0.023835175,0.049904637,0.052290715,0.05063225,0.00015172127,0.0657414,0.2495468,0.018486591,0.032039374,0.022721827
ENSG00000099864,0.0995662,0.107805416,0.015171229,0.052314725,0.09631833,0.17530891,0.16945657,5.5043532e-05,0.028756507,0.038081154,0.08728709,0.08480382,0.045075007
ENSG00000099812,0.51019806,0.0015272393,0.08652805,0.046598636,0.07960923,0.08488621,0.09403321,0.0015272393,0.0015272393,0.042296164,0.0317047,0.0015272393,0.018036826
ENSG00000272473,0.0017317544,0.0017317544,0.7369776,0.048024572,0.012673617,0.011471196,0.008011174,0.0017317544,0.0017317544,0.114810154,0.0017317544,0.057641096,0.0017317544
ENSG00000267530,0.0154363355,0.035649613,0.32186165,0.043670986,0.07324499,0.055171337,0.115746915,0.00034153005,0.03063813,0.113748565,0.018406173,0.078409605,0.09767419
